"17/12/2016";"Animation jeunes";"44/Nantes";"musee Jules-Verne";"Équipement à but non lucratif (culture, sport et loisir)";"5380345";"Loisirs et sports";"Animation loisirs jeunes";"Animation";"Le tour du monde en 6 langues";"";"Atelier anime par l'association Evalap pour decouvrir l'univers de Jules Verne et familiariser les enfants aux langues etrangères à travers des activites ludiques et artistiques.";"Samedi 17 decembre, 15h à 16h30, Musee Jules-Verne, Nantes. Tarif enfants metropolitains 3 €/non-metropolitains 6 €. Inscription avant le 16 decembre. Contact : 02 40 69 72 52, musee-julesverne@nantesmetropole.fr, http://www.julesverne.nantesmetropole.fr";"Nantes";"44";"44109";"44000";"47.20205";" -1.577412";"17/12/2016";"17/12/2016";"oui";"";"enfants metropolitains 3 €/non-metropolitains 6 €";""
"23/10/2016";"Atelier, activite de loisirs";"44/Nantes";"la Folie des arts";"Association";"5162164";"Loisirs et sports";"Atelier, activite de loisirs";"Autre";"Ateliers Theâtre du dimanche";"";"Atelier d’initiation et/ou de perfectionnement à la parole grâce aux outils de l’acteur. Acquerir une respiration juste et être detendu, être attentif au rythme des phrases et aux attitudes du corps.";"Dimanche 23 octobre 2016, dimanche 9 avril 2017, 14h à 18h, La Folie des arts, 16 bis, rue du Chanoine-Poupard, Nantes. Tarif 55 € et 10 € adhesion association LFDA. Contact et reservation : 06 65 59 30 51, demfau@aol.com, http://www.foliedesartsnantes.org/ateliers-stages/ateliers-th%C3%A9%C3%A2tre/";"Nantes";"44";"44109";"44000";"47.24836";" -1.575765";"23/10/2016";"09/04/2017";"oui";"";"55 € et 10 € adhesion association LFDA";""
"06/10/2016";"Atelier, activite de loisirs";"44/Nantes";"la Terre au bout des doigts";"Association";"5289639";"Loisirs et sports";"Atelier, activite de loisirs";"Poterie";"Poterie";"";"Cours « modelage et sculpture ceramique ». Creativite en volume avec « la terre au bout des doigts ». Loisir de qualite dans un cadre associatif. Cours à l’annee adultes du mercredi matin de 9 h 30 à 12 h 30 et stages enfants vacances en fevrier 2017 et stages raku adultes en mars 2017.";"Jusqu'au mercredi 14 juin 2017, 9h30 à 12h30, Atelier, 20, rue du Coudray, Nantes. Payant. Contact et reservation : 06 87 35 54 33, 06 80 95 85 12, terreboutdoigts@gmail.com, http://terreboutdoigts.wix.com/terreboutdesdoigts";"Nantes";"44";"44109";"44000";"47.23282";" -1.543293";"06/10/2016";"14/06/2017";"oui";"";"";""
"12/09/2016";"Animation jeunes";"44/Nantes";"Hora";"Association";"5236652";"Loisirs et sports";"Animation loisirs jeunes";"Animation";"Yoga enfants";"";"Accompagnement de l’enfant dans la decouverte des postures (heros mythologiques, animaux, elements). Dans une ambiance ludique et detendue l’enfant decouvrira son ressenti et apprivoisera les valeurs (qualites, forces, faiblesses) incarnees par les postures.";"Du lundi 12 septembre 2016 au lundi 12 juin 2017, 16h30 à 17h30, Salle Felix-Thomas Accoord, Nantes. Payant. Contact : 07 53 02 08 05, contact@yoga-rama.com, www.yoga-rama.com";"Nantes";"44";"44109";"44000";"47.22396";" -1.540806";"12/09/2016";"12/06/2017";"oui";"";"";""
"17/12/2016";"Atelier, activite de loisirs";"44/Nantes";"ecole de danse Alexandra-Gerard";"Association";"5373247";"Loisirs et sports";"Atelier, activite de loisirs";"Cours";"Stage de danse classique et modern'jazz";"";"Remise à niveau ou decouvrir la danse. Ouvert aux enfants à partir de 9 ans, ados, adultes. Du niveau debutant au confirme. Ce stage a pour but de permettre d'approfondir ses acquis tout en developpant ses potentialites techniques et artistiques.";"Samedi 17 decembre, 13h30 à 15h et 15h à 16h30, L'atelier du Mouvement, 8, rue des Perrines, Nantes. Tarif 20€, autre : 35 € pour 2 cours. Contact et reservation : 02 40 52 25 36, www.nantesdanse.com";"Nantes";"44";"44109";"44000";"47.22799";" -1.515077";"17/12/2016";"17/12/2016";"oui";"20";"35 € pour 2 cours";"9"
"18/12/2016";"Repas, soiree";"44/Nantes";"Anbu India";"Association";"5362673";"Loisirs et sports";"Repas soiree";"Autre";"Dejeuner indien";"";"Organise par l’association Anbu India avec des produits bio.";"Dimanche 18 decembre, 13h, Salle du Breil-Malville, 38, rue du Breil, Nantes. Tarif 15€. Inscription avant le 16 decembre. Contact : 07 81 89 72 72, anbuindia44@gmaim.com";"Nantes";"44";"44109";"44000";"47.22851";" -1.583694";"18/12/2016";"18/12/2016";"oui";"15";"";""
"20/09/2016";"Atelier, activite de loisirs";"44/Nantes";"association du quartier Saint-Felix";"Association";"5260619";"Loisirs et sports";"Atelier, activite de loisirs";"Activite manuelle";"Association du quartier Saint-Felix";"Diverses activites de loisir.";"Il reste des places disponibles dans les ateliers suivants : jeux de societe (jeudi matin et vendredi après-midi), cartonnage (jeudi matin), encadrement (mardi après-midi), broderie (mercredi après-midi). Par ailleurs l'atelier peinture recherche un encadrant benevole.";"Du mardi 20 septembre 2016 au jeudi 15 juin 2017, Association quartier Saint-Felix, 39, rue Felix-Thomas, Nantes. Payant. Contact : asso.stfelix@orange.fr";"Nantes";"44";"44109";"44000";"47.23115";" -1.553184";"20/09/2016";"15/06/2017";"oui";"";"";""
"17/12/2016";"Atelier, activite de loisirs";"44/Nantes";"la Belle assemblee";"Association";"5339563";"Loisirs et sports";"Atelier, activite de loisirs";"Autre";"Atelier de danses celtiques";"";"Atelier de danses traditionnelles d'Écosse, Pays de Galles, Irlande. Ouvert à tous.";"Samedi 17 decembre, 15h, Gymnase de la Barboire, 45, rue de la Bourgeonnière, Nantes. Payant. Contact et reservation : 02 72 02 42 03, la-belle-assemblee@hotmail.com, http://badanse.wix.com/la-belle-assemblee";"Nantes";"44";"44109";"44000";"47.25215";" -1.556268";"17/12/2016";"17/12/2016";"oui";"";"";"16"
"07/09/2016";"Sport";"44/Nantes";"Adagyo";"Association";"5239250";"Loisirs et sports";"Sport";"Autre";"Adagyo";"Inscription.";"Adagyo cree un nouveau cours de danse en ligne (folklore, country) le mercredi, pour les 50 ans ou plus.";"Du mercredi 7 septembre 2016 au vendredi 23 juin 2017, 17h à 18h, Gymnase Malakoff 4, boulevard de l’Europe, Nantes. Payant. Contact et reservation : 06 45 92 42 62, clubadagyo@yahoo.fr, Adagyo.gandi-site.net";"Nantes";"44";"44109";"44000";"47.21473";" -1.528555";"07/09/2016";"23/06/2017";"oui";"";"";""
"17/12/2016";"Atelier, activite de loisirs";"44/Nantes";"Synergie bien-être";"Association";"5378717";"Loisirs et sports";"Atelier, activite de loisirs";"Autre";"Qi gong du Tao energie de l'hiver";"";"L'energie des reins est à mettre en relation avec l'element eau, la saison hivernale. Elle contrôle la resistance au stress. Programme : deverouillage des articulations, l'element eau dans la theorie des 5 elements, respirations, posture de qi gong, meditations dynamiques, automassages.";"Samedi 17 decembre, 15h à 18h, Maison de quartier de l'Île, 2, rue Conan-Meriadec, Nantes. Payant. Contact et reservation : 06 83 04 71 60, synergiebienetre@hotmail.fr";"Nantes";"44";"44109";"44000";"47.2066";" -1.550762";"17/12/2016";"17/12/2016";"oui";"";"";""
