"16/12/2016";"Concert";"44/Nantes";"Toxxic productions";"Association";"5361664";"Concerts, spectacles";"Concert, spectacle musical";"Rock";"Toxxic TV";"Rock. Vendredi 16 decembre, 20h, Chez Madame-Rêve, 2, allee Jean-Bart, Nantes. Gratuit.";"";"";"Nantes";"44";"44109";"44000";"47.21442";" -1.555273";"16/12/2016";"16/12/2016";"non";"";"";""
"16/12/2016";"Concert";"44/Nantes";"le cafe Rouge-Mecanique";"Autre organisme à but non lucratif";"5209122";"Concerts, spectacles";"Concert, spectacle musical";"Rock";"Roman en solo et en acoustique";"Rock.";"Gaume : Timide sûrement, discret souvent, talentueux indeniablement, le charismatique leader aux yeux bleus vient avec ce 3e opus offrir plus qu'un album mais un double album, une veritable invitation à visiter les trefonds de son âme, sensible et ecorchee à la fois, tout aussi fragile que serein.";"Vendredi 16 decembre, 21h, Le cafe Rouge-Mecanique, 10, rue Bon-Secours, Nantes. Gratuit.";"Nantes";"44";"44109";"44000";"47.21346";" -1.553543";"16/12/2016";"16/12/2016";"non";"";"";""
"17/12/2016";"Concert";"44/Nantes";"le cafe Rouge-Mecanique";"Autre organisme à but non lucratif";"5288603";"Concerts, spectacles";"Concert, spectacle musical";"Rock";"L'arnaque avec Rimo";"Rock. Samedi 17 decembre, 21h, Le cafe Rouge-Mecanique, 10, rue Bon-Secours, Nantes. Gratuit.";"";"";"Nantes";"44";"44109";"44000";"47.21346";" -1.553543";"17/12/2016";"17/12/2016";"non";"";"";""
"16/12/2016";"Concert";"44/Nantes";"cafe culturel le Zygo bar";"Équipement à but non lucratif (culture, sport et loisir)";"5365727";"Concerts, spectacles";"Concert, spectacle musical";"Autre";"The Doo-doo chasers";"";"Funk.";"Vendredi 16 decembre, 21h, Le Zygo bar, 35, rue des Olivettes, Nantes. Gratuit.";"Nantes";"44";"44109";"44000";"47.21088";" -1.54894";"16/12/2016";"16/12/2016";"non";"";"";""
"17/12/2016";"Concert";"44/Nantes";"association Musique sacree, cathedrale de Nantes";"Association";"5285347";"Concerts, spectacles";"Concert, spectacle musical";"Classique";"Concert Noëls en-chantant";"Classique.";"Avec la Pre-Maîtrise et l'organiste Michel Bourcier c'est l'histoire de Noëls ! Le public n'a qu'à bien se tenir, car petits et grands pourront decouvrir et chanter les plus beaux chants de Noëls avec les enfants . L'orgue quant à lui fera resonner les plus beaux Noëls de Louis-Claude Daquin.";"Samedi 17 decembre, 15h, Chapelle de l'Immaculee, rue Malherbe, Nantes. Gratuit. Contact et reservation : 02 40 35 76 43, contact@musiquesacree-nantes.cef.fr, www.musiquesacree-nantes.cef.fr";"Nantes";"44";"44109";"44000";"47.218";" -1.546612";"17/12/2016";"17/12/2016";"non";"";"";""
"10/12/2016";"Spectacle";"44/Nantes";"passage Sainte-Croix";"Équipement à but non lucratif (culture, sport et loisir)";"5302418";"Concerts, spectacles";"Autres scènes";"Autre";"Exposition temporaire de JL Pasquet: voici l'eau";"";"Le Passage Sainte-Croix donne carte blanche à l'artiste plasticien nantais Jean-Louis Pasquet pour metamorphoser le Patio et plonger le promeneur dans une œuvre textile immersive et lumineuse aux couleurs de l'eau.";"Du samedi 10 decembre 2016 au samedi 11 fevrier 2017, Passage Sainte-Croix, 9, rue de la Bâclerie, quartier Bouffay, Nantes. Gratuit. Contact : 02 51 83 23 75, accueil.passage@gmail.com, http://www.passagesaintecroix.fr";"Nantes";"44";"44109";"44000";"47.21514";" -1.55368";"10/12/2016";"11/02/2017";"non";"";"";""
"17/12/2016";"Concert";"44/Nantes";"mission Timothee";"Association";"5364589";"Concerts, spectacles";"Concert, spectacle musical";"Chant choral";"Chorale de la mission Timothee";"Chant choral.";"10e portes ouvertes. Presence des associations partenaires.";"Samedi 17 decembre, 16h, Mission Timothee, 93, boulevard Auguste-Peneau, Nantes. Gratuit. Contact et reservation : 06 62 24 25 85.";"Nantes";"44";"44109";"44000";"47.23034";" -1.510442";"17/12/2016";"17/12/2016";"non";"";"";""
"16/12/2016";"Spectacle";"44/Nantes";"Adit";"Association";"5377382";"Concerts, spectacles";"Autres scènes";"Theâtre d'improvisation";"Bagarre d'improvisation theâtrale du Cito";"";"Improvisation theâtrale entre 2 troupes qui s'affrontent face au public qui vote pour ses interpretations preferees.";"Vendredi 16 decembre, 20h30, Maison de quartier la Bottière, 147, route de Sainte-Luce, Nantes. Gratuit.";"Nantes";"44";"44109";"44000";"47.23626";" -1.518369";"16/12/2016";"16/12/2016";"non";"";"";""
"17/12/2016";"Concert";"44/Nantes";"Dynamo cafe";"Équipement à but non lucratif (culture, sport et loisir)";"5364145";"Concerts, spectacles";"Concert, spectacle musical";"Rap";"Les sons du miroirs";"Rap.";"Les Fonds de Tiroirs special Rap Français #7. Collectif de Djs Les Sons du Miroir : Blacksad - Rance - Bigup.";"Samedi 17 decembre, 21h30 à 3h30, Dynamo cafe, 91, rue Marechal-Joffre, Nantes. Gratuit. Contact et reservation : 02 40 48 79 18, https://www.facebook.com/lessons.dumiroir";"Nantes";"44";"44109";"44000";"47.2204";" -1.548486";"17/12/2016";"17/12/2016";"non";"";"";""
"01/12/2016";"Spectacle";"44/Nantes";"choeur de chambre Éclats de Voix";"Association";"5371458";"Concerts, spectacles";"Autres scènes";"Autre";"Audition recrutement";"";"Le chœur de chambre Eclats de voix dirige par Gerard Baconnais recrute des chanteurs et chanteuses confirmes, tous pupîtres. Projets 2017 : Misa Tango de Palmieri avec piano, orchestre à cordes, bandoneon, solistes à la Folle Journee de Nantes et en region. Voyage en Allemagne et concerts divers.";"Jusqu'au dimanche 25 decembre, Lycee La Perverie, Nantes. Gratuit. Contact : 06 51 11 52 65, gerard.baconnais@laposte.net, eclatsdevoix.fr";"Nantes";"44";"44109";"44000";"47.22396";" -1.540806";"01/12/2016";"25/12/2016";"non";"";"";""
"16/12/2016";"Concert";"44/Nantes";"Dynamo cafe";"Équipement à but non lucratif (culture, sport et loisir)";"5372496";"Concerts, spectacles";"Concert, spectacle musical";"Autre";"Mix two";"";"Puppa Dready et DJ CLB.";"Vendredi 16 decembre, 22h à 3h, Dynamo cafe, 91, rue Marechal-Joffre, Nantes. Gratuit. Contact : 02 40 48 79 18, www.facebook.com/mixtwo";"Nantes";"44";"44109";"44000";"47.2204";" -1.548486";"16/12/2016";"16/12/2016";"non";"";"";""
"17/12/2016";"Concert";"44/Nantes";"association Musique sacree, cathedrale de Nantes";"Association";"5285384";"Concerts, spectacles";"Concert, spectacle musical";"Chant choral";"Concert de Noël ""Noëls, Carols et Cie...""";"Chant choral.";"A la lueur des bougies, la Maitrise de la Cathedrale donne son traditionnel concert de Noël. Melangeant Noëls populaires et musique savante, Dove, Rutter, Sandström, Rachmaninov, Tavener seront au programme de ce concert pour petits et grands dans la magie de Noël.";"Samedi 17 decembre, 19h, Cathedrale Saint-Pierre-et-Saint-Paul, place Saint-Pierre, Nantes. Gratuit. Contact et reservation : 02 40 35 76 43, contact@musiquesacree-nantes.cef.fr, www.musiquesacree-nantes.cef.fr";"Nantes";"44";"44109";"44000";"47.21783";" -1.550832";"17/12/2016";"17/12/2016";"non";"";"";""
"23/10/2016";"Concert";"44/Nantes";"le Pannonica";"Équipement à but non lucratif (culture, sport et loisir)";"5174231";"Concerts, spectacles";"Concert, spectacle musical";"Jazz";"Bœuf de 5 à 7";"Jazz.";"Vous êtes musiciens, vous avez envie de taper le « bœuf » en centre-ville le dimanche ! Venez au Bœuf de 5 à 7 organise par l’association Nantes jazz action. Gratuit dans la limite des places disponibles.";"Dimanche 23 octobre, dimanche 20 novembre, dimanche 18 decembre, 17h, Le Pannonica, 9, rue Basse-Porte, Nantes. Gratuit.";"Nantes";"44";"44109";"44000";"47.22118";" -1.558729";"23/10/2016";"18/12/2016";"non";"";"";""
"16/12/2016";"Spectacle";"44/Nantes";"compagnie Paq'la lune";"Association";"5385581";"Concerts, spectacles";"Autres scènes";"Theâtre";"Les brigades de lecture, visite du QG";"Theâtre.";"Depuis leur mission « anti-livres », les brigades de lecture de Paq' la lune sont entrees en resistance sur le quartier Ranzay. Avec cette visite theâtralisee, le brigadier-chef et ses acolytes ouvrent les portes de leur QG. Decouverte des accessoires, uniformes et secrets du maquis.";"Vendredi 16 decembre, 18h et 19h, Salle associative du Ranzay, 2 bis, rue Hermann-Geiger, Nantes. Gratuit. Contact : 09 51 33 63 79, nantes@paqlalune.fr, www.paqlalune.fr";"Nantes";"44";"44109";"44000";"47.24978";" -1.528898";"16/12/2016";"16/12/2016";"non";"";"";""
